Country,coffee_affordability
Italy,0.0209348202423608
Switzerland,0.022489685557913607
Australia,0.024273248468842698
United Kingdom,0.02499143694419425
United States,0.02654649299737965
Spain,0.026716210159959276
Germany,0.026889234731109574
Netherlands,0.027980498961763967
Singapore,0.029181799783693445
Hungary,0.029741166046413338
New Zealand,0.02975495116163109
Canada,0.030548478868853642
Austria,0.032401738786378434
Japan,0.032813459026455355
Belgium,0.03307254185278788
France,0.03375603125286645
South Korea,0.034297191798991926
Norway,0.034440072732502595
Sweden,0.03501471597292598
Portugal,0.03659975776770571
United Arab Emirates,0.036767621423267415
Czech Republic,0.03878211919475914
Denmark,0.040272862318993054
Finland,0.04275713422060228
Poland,0.04330860811696575
Malaysia,0.06366921689831477
Argentina,0.07692700227081366
Brazil,0.07911058605122147
China,0.08115941674633032
Colombia,0.08479055125347548
Thailand,0.08530561717878636
Chile,0.08696881849678285
Greece,0.09497997076768078
Indonesia,0.12402157261872286
Peru,0.13718423016465284
